PurchaseID,UserID,Time,Item,Price,NumLessons,PayPalTX
3,294,1367912905,$13 per lesson for 20 lessons x 1,260,20,1XS386392L0302314
4,204,1367914472,credit,0,40,
5,293,1367915867,Adjustment,0,12,
6,48,1367916462,Adjustment,0,20,
7,293,1367917810,Adjustment,0,0,
8,170,1367922367,Adjustment,0,3,
9,170,1367922411,Adjustment,0,2,
10,170,1367922500,Adjustment,0,2,
11,170,1367922650,Adjustment,0,-5,
12,293,1367923914,Adjustment,0,-12,
13,290,1367924301,$12 per lesson for 30 lessons x 1,360,30,48S94845J8593184R
14,11,1367925986,$12 per lesson for 30 lessons x 1,360,30,57H37910J92298820
15,170,1367927026,$15 for 1 lesson x 6,90,6,13M211344B0110549
16,201,1367931444,$13 per lesson for 20 lessons x 1,260,20,2S899559X10059145
17,201,1367933243,$12 per lesson for 30 lessons x 1,360,30,43W2095066256513T
18,201,1367935253,$12 per lesson for 30 lessons x 1,360,30,94J11228H3276933X
19,296,1367935448,$15 for 1 lesson x 10,150,10,3UJ15429VR382110E
20,26,1367940130,$13 per lesson for 20 lessons x 1,260,20,5GG61297ED737525D
21,312,1367952601,$13 per lesson for 20 lessons x 2,520,40,9RH05459WL812715R
22,301,1367954918,Adjustment,49,3,8DW81794RJ484253M
23,222,1367960397,Adjustment,0,20,
24,548,1367962889,Adjustment,0,10,
25,47,1367963698,Adjustment,0,20,
26,6,1367366400,Adjustment per Finance,0,18,
27,314,1367366400,Adjustment per Finance,0,20,
28,10,1367366400,Adjustment per Finance,0,40,
29,12,1367366400,Adjustment per Finance,0,40,
30,13,1367366400,Adjustment per Finance,100,10,
31,17,1367366400,Adjustment per Finance,0,18,
32,24,1367366400,Adjustment per Finance,0,63,
33,25,1367366400,Adjustment per Finance,300,30,
34,31,1367366400,Adjustment per Finance,300,24,
35,34,1367366400,Adjustment per Finance,0,2,
36,456,1367366400,Adjustment per Finance,200,20,
37,44,1367366400,Adjustment per Finance,0,26,
38,50,1367366400,Adjustment per Finance,300,16,
39,51,1367366400,Adjustment per Finance,0,90,
40,52,1367366400,Adjustment per Finance,150,10,
41,53,1367366400,Adjustment per Finance,0,60,
42,59,1367366400,Adjustment per Finance,0,10,
43,767,1367366400,Adjustment per Finance,0,6,
44,71,1367366400,Adjustment per Finance,0,53,
45,338,1367366400,Adjustment per Finance,0,36,
46,80,1367366400,Adjustment per Finance,0,9,
47,82,1367366400,Adjustment per Finance,200,4,
48,84,1367366400,Adjustment per Finance,0,20,
49,89,1367366400,Adjustment per Finance,0,9,
50,91,1367366400,Adjustment per Finance,0,3,
51,92,1367366400,Adjustment per Finance,150,7,
52,96,1367366400,Adjustment per Finance,100,6,
53,104,1367366400,Adjustment per Finance,0,3,
54,104,1367366400,Adjustment per Finance,50,3,
55,382,1367366400,Adjustment per Finance,200,9,
56,904,1367366400,Adjustment per Finance,200,20,
57,112,1367366400,Adjustment per Finance,50,3,
58,182,1367366400,Adjustment per Finance,200,20,
59,173,1367366400,Adjustment per Finance,600,60,
60,122,1367366400,Adjustment per Finance,300,30,
61,163,1367366400,Adjustment per Finance,0,36,
62,132,1367366400,Adjustment per Finance,0,16,
63,310,1367366400,Adjustment per Finance,300,30,
64,423,1367366400,Adjustment per Finance,100,10,
65,309,1367366400,Adjustment per Finance,60,5,
66,519,1367366400,Adjustment per Finance,300,30,
67,148,1367366400,Adjustment per Finance,300,30,
68,149,1367366400,Adjustment per Finance,0,6,
69,251,1367366400,Adjustment per Finance,124,12,
70,155,1367366400,Adjustment per Finance,200,20,
71,159,1367366400,Adjustment per Finance,0,11,
72,160,1367366400,Adjustment per Finance,0,1,
73,162,1367366400,Adjustment per Finance,0,7,
74,165,1367366400,Adjustment per Finance,0,20,
75,166,1367366400,Adjustment per Finance,0,32,
76,166,1367366400,Adjustment per Finance,500,24,
77,167,1367366400,Adjustment per Finance,0,16,
78,431,1367366400,Adjustment per Finance,600,60,
79,170,1367366400,Adjustment per Finance,130,8,
80,171,1367366400,Adjustment per Finance,0,31,
81,172,1367366400,Adjustment per Finance,0,4,
82,175,1367366400,Adjustment per Finance,0,3,
83,181,1367366400,Adjustment per Finance,0,2,
84,185,1367366400,Adjustment per Finance,200,3,
85,185,1367366400,Adjustment per Finance,0,3,
86,187,1367366400,Adjustment per Finance,0,40,
87,189,1367366400,Adjustment per Finance,0,23,
88,195,1367366400,Adjustment per Finance,0,35,
89,195,1367366400,Adjustment per Finance,0,35,
90,205,1367366400,Adjustment per Finance,200,14,
91,213,1367366400,Adjustment per Finance,0,40,
92,221,1367366400,Adjustment per Finance,0,26,
93,232,1367366400,Adjustment per Finance,100,10,
94,233,1367366400,Adjustment per Finance,0,11,
95,237,1367366400,Adjustment per Finance,0,10,
96,174,1367366400,Adjustment per Finance,0,12,
97,573,1367366400,Adjustment per Finance,0,7,
98,252,1367366400,Adjustment per Finance,0,12,
99,407,1367366400,Adjustment per Finance,0,18,
100,256,1367366400,Adjustment per Finance,0,30,
101,228,1367366400,Adjustment per Finance,200,9,
